year,county,facilityType,vmt,laneMiles,minElast,maxElast
2017,ALLEGANY,Rural Interstate/Freeway/Expressway,186,121.091,0.7,1
2017,ALLEGANY,Rural Primary Arterial - Other,21,19.466,0.7,1
2017,ALLEGANY,Rural Minor Arterial,18,16.563999,0.5,0.7
2017,ALLEGANY,Rural Collector (Major and Minor),33,208.937,0.5,0.7
2017,ALLEGANY,Rural Local,53,678.23999,0.3,0.5
2017,ALLEGANY,Urban Interstate/Freeway/Expressway,175,67.512001,0.7,1
2017,ALLEGANY,Urban Primary Arterial - Other,100,57.206001,0.7,1
2017,ALLEGANY,Urban Minor Arterial,174,137.308,0.5,0.7
2017,ALLEGANY,Urban Collector (Major and Minor),46,122.706,0.5,0.7
2017,ALLEGANY,Urban Local,34,579.60797,0.3,0.5
2017,ANNE ARUNDEL,Rural Interstate/Freeway/Expressway,109,20.040001,0.7,1
2017,ANNE ARUNDEL,Rural Primary Arterial - Other,115,36.470001,0.7,1
2017,ANNE ARUNDEL,Rural Minor Arterial,72,38.605999,0.5,0.7
2017,ANNE ARUNDEL,Rural Collector (Major and Minor),56,107.494,0.5,0.7
2017,ANNE ARUNDEL,Rural Local,70,258.89001,0.3,0.5
2017,ANNE ARUNDEL,Urban Interstate/Freeway/Expressway,0,433.995,0.7,1
2017,ANNE ARUNDEL,Urban Primary Arterial - Other,874,258.58899,0.7,1
2017,ANNE ARUNDEL,Urban Minor Arterial,940,421.88199,0.5,0.7
2017,ANNE ARUNDEL,Urban Collector (Major and Minor),554,518.198,0.5,0.7
2017,ANNE ARUNDEL,Urban Local,376,2952.062,0.3,0.5
2017,BALTIMORE,Rural Interstate/Freeway/Expressway,300,58.18,0.7,1
2017,BALTIMORE,Rural Primary Arterial - Other,44,17.653,0.7,1
2017,BALTIMORE,Rural Minor Arterial,66,58.941002,0.5,0.7
2017,BALTIMORE,Rural Collector (Major and Minor),227,324.172,0.5,0.7
2017,BALTIMORE,Rural Local,124,757.927,0.3,0.5
2017,BALTIMORE,Urban Interstate/Freeway/Expressway,0,639.29602,0.7,1
2017,BALTIMORE,Urban Primary Arterial - Other,0,420.15701,0.7,1
2017,BALTIMORE,Urban Minor Arterial,0,691.59003,0.5,0.7
2017,BALTIMORE,Urban Collector (Major and Minor),706,716.43298,0.5,0.7
2017,BALTIMORE,Urban Local,519,3373.584,0.3,0.5
2017,CALVERT,Rural Interstate/Freeway/Expressway,0,0,0.7,1
2017,CALVERT,Rural Primary Arterial - Other,22,7.9920001,0.7,1
2017,CALVERT,Rural Minor Arterial,0,0,0.5,0.7
2017,CALVERT,Rural Collector (Major and Minor),46,102.162,0.5,0.7
2017,CALVERT,Rural Local,10,409.612,0.3,0.5
2017,CALVERT,Urban Interstate/Freeway/Expressway,0,0,0.7,1
2017,CALVERT,Urban Primary Arterial - Other,468,158.45,0.7,1
2017,CALVERT,Urban Minor Arterial,51,29.754999,0.5,0.7
2017,CALVERT,Urban Collector (Major and Minor),119,119.291,0.5,0.7
2017,CALVERT,Urban Local,44,631.79401,0.3,0.5
2017,CAROLINE,Rural Interstate/Freeway/Expressway,21,9.5600004,0.7,1
2017,CAROLINE,Rural Primary Arterial - Other,100,47.919998,0.7,1
2017,CAROLINE,Rural Minor Arterial,116,113.24,0.5,0.7
2017,CAROLINE,Rural Collector (Major and Minor),107,335.53201,0.5,0.7
2017,CAROLINE,Rural Local,66,901.84601,0.3,0.5
2017,CAROLINE,Urban Interstate/Freeway/Expressway,0,0,0.7,1
2017,CAROLINE,Urban Primary Arterial - Other,0,0,0.7,1
2017,CAROLINE,Urban Minor Arterial,0,0,0.5,0.7
2017,CAROLINE,Urban Collector (Major and Minor),0,0,0.5,0.7
2017,CAROLINE,Urban Local,0,0,0.3,0.5
2017,CARROLL,Rural Interstate/Freeway/Expressway,0,0,0.7,1
2017,CARROLL,Rural Primary Arterial - Other,44,21,0.7,1
2017,CARROLL,Rural Minor Arterial,201,106.392,0.5,0.7
2017,CARROLL,Rural Collector (Major and Minor),145,332.62799,0.5,0.7
2017,CARROLL,Rural Local,73,1019.109,0.3,0.5
2017,CARROLL,Urban Interstate/Freeway/Expressway,41,9.6599998,0.7,1
